Sorted list of BTC addresses
BTC address;Amount (Satoshi)
3N1znBQ6Eka7egw1PYmCC1XinrCu6ZBmhJ;0
3N1ecje5SELY2F7EyEPSPVkhpZ9B8hdZ8C;0
3MZnydDEKgpijxVpeQV8W8pT1E4d7buPgi;0
3MypR9EokEuiafok7phL85KQGuvGyq8wJo;0
3MX1m1rD7VZAQ2ud9RFvPGmEnHZXZGMqhe;0
3Mx1kQkdnT5LGwp3C6TmeeMAoRXu51NXGk;0
128NBqYiM53LfCR1sChahqC5ktt5HZ3Ymh;0
3MWNxAT97xjsb5Q3nApsUA5hgPgAooVRFY;0
3MW79WpK5vEuBLK99B1AhX1WQECbeBJvSM;0
3MvJQAPT6hsHpQUujodjC5vz4Kqw5vKMrH;0
3MvELkZDPWFdXobL7vGGYnJ2WqJFL279EW;0
3MUKhMFcEHrfsSSbPeY3LhJyfTcPiRGLiY;0
3MUD5z5k1ms2rjsQ3wxEwWB4GAWLKimcfe;0
3MtzuU6kz8hcCqPykzjjHK5N3AkvvncczW;0
3MsXoY1m9yvcUDkAHP5vctirkPDNmATMtp;0
128MgTeC3PgZyH1sqSgDzjDZytTXjT3tBY;0
3MR3wu7gpTw8b3qMFqfwrA1DUK7DY9jJdX;0
3MR1Wg2swUfvTNKTP1ANzGihyobE4izPWg;0
3Mr1JLv9P7zJzLfqk7BqiutcNnTyg4FQZf;0
3MqsCLfkfAxZB3uLAKUUs21f9j9SBfRnrP;0
3MqQffacBELtcEYe163u8wpttkHzUwePGV;0
3MpwrNmjBpKprWVgjVjJT8zQCXYVs5HmQL;0
3MPJuNpnwL72SrTooZ4hbCxFupTvneoJrP;0
3MNawV56bduxt9VMJrwCe4JZGzxgrgYLJi;0
3MmQPHgjSj5yA69WBsULpfgEXXm8hAzvZK;0
128L9ZVS11PjUVtt49FDKYz4JKqTfwXkjK;0
3MM6WBf5F8qSw2v6J51nAu1ffE6jruUtaX;0
3MLtNeXdXtZfJnXiUS9jRHaroLY1n1Epnw;0
3MLtbxqRCKDFHiYzmV7T621LJBr4psEEwm;0
